Material Number,Contribution Margin,Gross Margin %,Profit per Customer,Profit per Product,Profit per Batch,Profit per Plant,Planned Material Cost,Actual Material Cost,Packaging Cost,Labor Cost,Quality Cost,Manufacturing Overhead,Freight Cost,Cost Variance,Production Variance,Purchase Price Variance (PPV),Gross Revenue,Contract Manufacturing Fee,Discounts / Rebates,Freight Revenue,Net Revenue,Customer,Customer Group,Product (Material),Material Description,Product Category,Dosage Form,Formula Version,Batch Number,Plant,Sales Organization,Distribution Channel,Region / Country
MAT200010,896.75,5.9,181.26,294.5,57.71,91.75,1004.32,1058.33,98.82,51.61,42.28,104.85,290.28,47.82,-6.19,54.01,15189.32,12834.65,324.83,6492.12,19001.94,BioHealth,Distributors,Probiotic Capsules - Capsule,Probiotic Capsule – 20 Billion CFU – Gut Health,Probiotic Capsules,Capsule,FV-A-4,BATCH2026010010,PL04,SO-US01,B2B,Singapore
MAT200011,148154.19,30.54,55417.91,36910.86,8346.15,25753.64,24262.79,25095.1,1324.61,3958.14,540.68,2202.29,3079.37,2006.39,1174.08,832.31,485105.38,343506.84,64585.07,2607.77,281529.54,WellnessMart,Retail,Probiotic Capsules - Capsule,Probiotic Capsule – 20 Billion CFU – Gut Health,Probiotic Capsules,Capsule,FV-A-4,BATCH2026010011,PL05,SO-IN01,B2C,Germany
MAT200012,81277.62,19.49,20244.56,28814.25,5577.8,22641,20894.84,22253.37,1551.3,1711.32,1016.1,2333.22,7163.99,1299.08,-59.45,1358.53,417059.11,320930.99,21645.98,7771.31,307056.32,HealthyWorld,E-Commerce,Joint Health - Powder,Pet Joint Support Powder – Glucosamine Blend,Joint Health,Powder,FV-B-1,BATCH2026010012,PL01,SO-US01,B2C,UAE
MAT200013,23950.95,21.75,6903.1,5397.02,2020.66,5634.99,5702.31,6129.59,400.41,612.1,93.14,789.33,5475.62,472.17,44.89,427.28,110107.86,83344.15,8515.95,1441.48,76269.68,HealthyWorld,E-Commerce,Amino Acid - Powder,Essential Amino Acid Powder – Berry Flavor,Amino Acid,Powder,FV-B-5,BATCH2026010013,PL01,SO-EU01,B2B,Canada
MAT200014,43042.54,45.31,9921.74,16796.91,2905.64,8381,4954.71,4796.03,140.44,346,285.19,543.83,3893.86,-43.04,115.64,-158.68,95003.36,59479.31,3784.13,9521.75,65216.93,FitLife,Retail,Vitamin B-Complex - Capsule,Vitamin B-Complex Capsule – Energy Formula – 60 Count,Vitamin B-Complex,Capsule,FV-A-3,BATCH2026010014,PL02,SO-US01,B2C,South Africa
MAT200015,15654.43,16.34,5253.97,3521.43,1505.45,4417.16,4993.41,5100.46,398.64,689.86,81.08,791.38,7304.5,-23.26,-130.31,107.05,95785.23,75381.24,10359.57,1422.45,66444.12,NutriPlus,Pharmacy,Metabolic Formula - Capsule,Metabolic Support Capsule – Herbal Blend,Metabolic Formula,Capsule,FV-B-4,BATCH2026010015,PL05,SO-AP01,B2C,Germany
MAT200016,55172.36,35.46,17051.54,19229.39,7305.83,9829.23,7953.93,8205.45,364.71,961.54,374.89,1750.75,3248.05,666.61,415.09,251.52,155599.91,105930.83,14142.27,7478.12,99266.68,BioHealth,Retail,Joint Health - Powder,Pet Joint Support Powder – Glucosamine Blend,Joint Health,Powder,FV-D-3,BATCH2026010016,PL02,SO-IN01,B2B,USA
MAT200017,37191.96,14.05,10151.84,10392.68,4929.95,7435.4,13356.53,13454.63,1120.82,1301.23,398.8,2943.01,4096.86,-378.93,-477.03,98.1,264754.43,211733.35,17850.45,4092.24,197975.14,GreenHerb,Wholesale,Vitamin D - Tablet,Vitamin D3 Tablet – 2000 IU – 120 Count,Vitamin D,Tablet,FV-B-3,BATCH2026010017,PL05,SO-AP01,B2C,India
MAT200018,49574.58,22.66,15221.32,16199.48,4162.44,8750.87,11082.65,11049.79,760.39,1325.21,462.06,1526.5,3184.25,685.65,718.51,-32.86,218812.78,164527.56,19600.19,6411.72,151339.09,NutriPlus,Pharmacy,Creatine - Powder,Creatine Monohydrate Powder – Micronized – 300 g,Creatine,Powder,FV-D-2,BATCH2026010018,PL04,SO-US01,B2B,Singapore
MAT200019,53295.62,35.73,12457.71,14009.39,4405.79,8721.02,7635.11,8469.48,346.38,549.24,196.34,1034.82,2681.76,882.97,48.6,834.37,149158.42,101319.27,6255.07,3280.24,98344.44,BioHealth,Wholesale,Amino Acid - Powder,Essential Amino Acid Powder – Berry Flavor,Amino Acid,Powder,FV-C-3,BATCH2026010019,PL04,SO-AP01,B2B,Brazil
MAT200020,104572.68,33.97,37136.65,23417.83,13027.18,10525.68,15490.4,14594.29,751.34,2336.46,247.61,3203.08,225.51,-870.16,25.95,-896.11,307867.18,212143.04,37200.51,1372.98,176315.51,BioHealth,Wholesale,Multivitamin Tablets - Tablet,Multivitamin Tablet – High Potency – 90 Count,Multivitamin Tablets,Tablet,FV-A-2,BATCH2026010020,PL01,SO-US01,B2C,South Africa
MAT200021,12649.25,17.08,3202.69,4902.99,1157.5,3286.63,3917.6,3701.57,307.61,331.33,222.92,589.84,6433.29,-69.71,146.32,-216.03,74049.46,57971.61,4041.23,9392.96,63323.34,CarePharma,E-Commerce,Joint Health - Powder,Pet Joint Support Powder – Glucosamine Blend,Joint Health,Powder,FV-B-1,BATCH2026010021,PL01,SO-AP01,B2B,UAE
MAT200022,37772.94,25.25,12200.85,11408.1,5553.06,4549.91,7657.54,7988.79,490.12,995.12,271.88,1875.48,997.71,954.16,622.91,331.25,149611.6,110340.77,14954.16,5198.87,100585.48,BioHealth,Pharmacy,Probiotic Powder - Powder,Probiotic Powder – Unflavored – 30 Servings,Probiotic Powder,Powder,FV-D-5,BATCH2026010022,PL05,SO-AP01,B2B,Germany
MAT200023,37128.58,19.92,14104.41,9657.3,3508.48,4883.03,9475.87,9179.11,696.17,1581.73,237.14,1474.84,1429.15,-61.23,235.53,-296.76,186349.11,142946.12,25515.29,3145.11,120575.94,PeakNutrition,Retail,Herbal Supplement - Capsule,Ashwagandha Capsule – 600 mg – Stress Support,Herbal Supplement,Capsule,FV-C-2,BATCH2026010023,PL04,SO-AP01,B2B,South Africa
MAT200024,98937.61,42.88,20551.04,32144.75,7352.85,13159.75,11673.71,13071.95,381.33,642.24,481.25,1416.5,1487.41,1479.71,81.47,1398.24,230754.64,147585.96,5772.59,6320.06,148133.43,FitLife,Distributors,Multivitamin Tablets - Tablet,Multivitamin Tablet – High Potency – 90 Count,Multivitamin Tablets,Tablet,FV-C-3,BATCH2026010024,PL02,SO-AP01,B2B,Singapore
MAT200025,57419.75,14.59,15934.37,14445.79,2927.38,9125.42,19736.81,18487.89,1637.33,1981.17,451.89,1611.89,2498.07,283.73,1532.65,-1248.92,393662.1,313647.98,27705.71,2727.53,288669.8,NutriPlus,E-Commerce,Amino Acid - Powder,Essential Amino Acid Powder – Berry Flavor,Amino Acid,Powder,FV-B-5,BATCH2026010025,PL03,SO-IN01,B2B,Brazil
MAT200026,36948.23,35.58,8386.64,7688.57,5372.69,10120.15,5392.01,5760.53,246.04,364.17,64.83,1305.94,6982.13,746.01,377.49,368.52,103838.52,70620.35,3898.03,596.42,67318.74,CarePharma,Distributors,Multivitamin Capsules - Capsule,Multivitamin Capsule – Daily Nutrition – 60 Count,Multivitamin Capsules,Capsule,FV-B-3,BATCH2026010026,PL02,SO-EU01,B2B,Germany
MAT200027,57375.88,22.11,21902.18,20582.52,3550.1,14361.89,13098.74,13935.75,911.53,2202.23,650.78,1312.32,6062.18,2089.42,1252.41,837.01,259546.05,195948.27,35849.93,7977.83,168076.17,NutriPlus,E-Commerce,Probiotic Powder - Powder,Probiotic Powder – Unflavored – 30 Servings,Probiotic Powder,Powder,FV-C-3,BATCH2026010027,PL04,SO-AP01,B2C,South Africa
MAT200028,133731.39,44.84,36377.01,53381.97,9029.23,17242.23,15014.16,16010.66,438.03,1453.52,897.75,1648.26,1328.34,458.62,-537.88,996.5,298245.21,187497.8,19925.78,9959.48,177531.5,FitLife,Wholesale,Skin & Coat - Capsule,Pet Omega Supplement – Skin & Coat Health,Skin & Coat,Capsule,FV-A-2,BATCH2026010028,PL03,SO-AP01,B2B,Brazil
MAT200029,9947.6,35.54,2413.97,3892.38,535.52,2858.88,1638.04,1726.73,74.88,127.33,94.72,141.72,7508.37,195.6,106.91,88.69,27992.95,19045.15,1336.22,9573.15,27282.08,GreenHerb,Distributors,Creatine - Powder,Creatine Monohydrate Powder – Micronized – 300 g,Creatine,Powder,FV-A-1,BATCH2026010029,PL01,SO-AP01,B2B,Germany
MAT200030,63595.79,20.8,21323.37,23908.83,6136.6,15481.22,15384.85,14397.63,1106.32,2122.22,830.59,2446.8,5793.83,292.04,1279.26,-987.22,305734.7,233036.13,33001.6,8821.54,208856.07,PeakNutrition,Pharmacy,Probiotic Powder - Powder,Probiotic Powder – Unflavored – 30 Servings,Probiotic Powder,Powder,FV-D-3,BATCH2026010030,PL05,SO-EU01,B2C,UK
MAT200031,33672.24,37.66,10392.55,11767.93,3058.74,6830.24,4677.84,4608.43,196.17,564.22,221.59,698.99,4210.95,8.68,78.09,-69.41,89409.44,59774.82,8101.84,7524.74,59197.72,PeakNutrition,Pharmacy,Probiotic (Pet) - Powder,Pet Probiotic Powder – Digestive Health,Probiotic (Pet),Powder,FV-A-2,BATCH2026010031,PL01,SO-US01,B2B,South Africa
MAT200032,3863.63,10.39,1403.99,897.87,508.36,624.66,2093.76,1970.39,189.33,327.05,37.89,457.86,2605.43,-91.59,31.78,-123.37,37200.54,30507.35,4694.77,1787.09,27599.67,PetCareCo,Pharmacy,Post-Workout - Powder,Post-Workout Recovery Powder – Muscle Repair,Post-Workout,Powder,FV-C-3,BATCH2026010032,PL03,SO-IN01,B2C,Singapore
MAT200033,96101.36,20.24,33694.45,22214.52,10142.14,25239.61,23747.7,24971.28,1731.17,3512.26,422.45,4141.86,6542.78,643.94,-579.64,1223.58,474698.34,363290.01,55966.39,1726.7,309050.32,NutriPlus,Pharmacy,Calcium Supplement - Tablet,Calcium + Vitamin D Tablet – Bone Health,Calcium Supplement,Tablet,FV-C-5,BATCH2026010033,PL03,SO-EU01,B2B,Brazil
MAT200034,52343.68,10.84,20672.3,12035.67,5665.12,15044.13,24157.98,23311.22,2165.09,4268.89,422.37,4324.03,7509.02,771.38,1618.14,-846.76,482987.86,394876.19,70857.74,1666.84,325685.29,WellnessMart,E-Commerce,Pre-Workout - Powder,Pre-Workout Powder – Energy & Endurance,Pre-Workout,Powder,FV-C-1,BATCH2026010034,PL01,SO-US01,B2B,Germany
MAT200035,130490.51,32.21,28460.82,38093.11,16836.46,15181.07,20305.74,20914.82,1048.41,1254.27,669.7,4352.36,837.2,-221.18,-830.26,609.08,405156.69,283142.81,12871.5,4704.2,274975.51,GreenHerb,Pharmacy,Protein Powder - Powder,Whey Protein Powder – Chocolate – 1 kg,Protein Powder,Powder,FV-A-3,BATCH2026010035,PL02,SO-IN01,B2C,India
MAT200036,75509.46,48.47,16314.16,22290.44,8177.16,21817.65,7963.04,8901.96,180.91,481.25,269.15,1426.17,7568.63,556.54,-382.38,938.92,155783.82,94793.88,4741.35,4864.83,94917.36,CarePharma,Distributors,Protein Powder - Powder,Whey Protein Powder – Chocolate – 1 kg,Protein Powder,Powder,FV-D-1,BATCH2026010036,PL03,SO-AP01,B2B,UAE
MAT200037,12842.77,24.07,4899.16,4052.13,1368.24,3746.81,2892.97,2711.91,191.2,485.89,112.48,509.49,7678.04,-59.6,121.46,-181.06,53347.7,39692.56,7359.68,5860.39,38193.27,BioHealth,Wholesale,Keto Supplement - Capsule,Keto Support Capsule – Exogenous Ketones,Keto Supplement,Capsule,FV-A-1,BATCH2026010037,PL05,SO-EU01,B2B,Singapore
MAT200038,119387.02,34.74,46697.81,29290.89,17054.74,35747.58,17263.71,19081.83,813.73,3008.12,368.34,4106.16,7977.62,1497.58,-320.54,1818.12,343695.35,235362.02,49576.4,2421.86,188207.48,HealthyWorld,Distributors,Probiotic Powder - Powder,Probiotic Powder – Unflavored – 30 Servings,Probiotic Powder,Powder,FV-D-5,BATCH2026010038,PL03,SO-EU01,B2B,Singapore
MAT200039,66487.15,29.83,18704.62,13825.52,6230.18,9910.46,11283.74,11412.24,630.25,1160.67,135.24,1741.06,2113.27,526.49,397.99,128.5,222875.48,158697.84,16239.26,589.2,143047.78,CarePharma,Retail,Pet Multivitamin - Tablet,Pet Multivitamin Chew – Dogs – 120 Chews,Pet Multivitamin,Tablet,FV-A-5,BATCH2026010039,PL04,SO-IN01,B2B,Germany
MAT200040,12656.65,19.35,3685.29,2786.39,1435.82,2477.67,3489.94,3600.91,259.96,381.32,52.48,655.6,3934.65,67.39,-43.58,110.97,65408.93,50383.03,5184.51,1187.47,46385.99,PeakNutrition,Retail,Collagen Powder - Powder,Collagen Peptides Powder – Unflavored – 500 g,Collagen Powder,Powder,FV-C-4,BATCH2026010040,PL02,SO-IN01,B2B,Germany
MAT200041,46196.02,18.47,12645.68,9880.41,4085.27,6638.6,12631.83,13649.99,960.69,1237.04,170.15,1835.87,1904.5,848.33,-169.83,1018.16,250112.57,193878.8,16990.34,880.13,177768.59,WellnessMart,Pharmacy,Probiotic (Pet) - Powder,Pet Probiotic Powder – Digestive Health,Probiotic (Pet),Powder,FV-C-1,BATCH2026010041,PL04,SO-US01,B2B,South Africa
MAT200042,10738.07,48.76,3817.79,3850.27,1235.6,2232.7,1342.52,1441.81,29.81,202.85,66.64,255.9,4409.01,58.44,-40.85,99.29,22022.32,13365.11,2666.89,7969.56,18667.78,FitLife,Pharmacy,Vitamin D - Tablet,Vitamin D3 Tablet – 2000 IU – 120 Count,Vitamin D,Tablet,FV-B-3,BATCH2026010042,PL05,SO-AP01,B2B,Singapore
MAT200043,70002.75,15.38,24791.99,15886.35,3570.53,17645.65,22778.35,21099.9,1857.44,3421.36,381.19,1861.21,6130.76,-1466.57,211.88,-1678.45,455113.6,360598.19,54705.68,1520.01,307412.52,VitaStore,Pharmacy,Prenatal Vitamin - Capsule,Prenatal Multivitamin Capsule – DHA Enriched – 90 Count,Prenatal Vitamin,Capsule,FV-A-5,BATCH2026010043,PL03,SO-US01,B2B,Germany
MAT200044,36989.6,27.79,9028.57,12949.74,4537.45,8586.58,6840.11,7053.71,406.86,538.01,325.06,1392.21,5353.26,-6.24,-219.84,213.6,133096.09,96279.01,6475.73,7554.48,97357.76,CarePharma,Retail,Keto Supplement - Capsule,Keto Support Capsule – Exogenous Ketones,Keto Supplement,Capsule,FV-A-3,BATCH2026010044,PL02,SO-US01,B2B,USA
MAT200045,83065.85,24.95,22990.87,18392.47,10647.06,15390.25,16731.8,18611.84,1079.8,1671.61,256.92,3562.19,3525.83,3292.17,1412.13,1880.04,332948.53,246107.13,23275.18,1249.6,224081.55,VitaStore,Distributors,Mineral Supplement - Tablet,Magnesium Glycinate Tablet – 400 mg,Mineral Supplement,Tablet,FV-B-1,BATCH2026010045,PL02,SO-EU01,B2B,South Africa
MAT200046,58287.18,36.59,14133.9,17437.61,8028.3,15494.07,8136.92,8271.58,356.72,631.56,283.1,1864.6,6667.09,52.4,-82.26,134.66,159296.98,107445.58,7585.21,5059.19,104919.56,WellnessMart,Pharmacy,Amino Acid - Powder,Essential Amino Acid Powder – Berry Flavor,Amino Acid,Powder,FV-C-5,BATCH2026010046,PL05,SO-EU01,B2B,India
MAT200047,81518.41,31.06,17063.83,20996.85,8150.46,19634.74,13241.67,14606.27,710.64,742.34,323,2184.5,5693.64,2274.09,909.49,1364.6,262433.67,185070.44,6839.32,3021.02,181252.14,WellnessMart,E-Commerce,Iron Supplement - Tablet,Iron Tablet – 65 mg – Gentle Formula,Iron Supplement,Tablet,FV-A-4,BATCH2026010047,PL01,SO-EU01,B2C,South Africa
MAT200048,49703.17,18.03,10498.52,16416.26,3907.57,5800.07,13894.4,13375.37,1067.51,796.09,591.51,1787.52,851.07,-39.8,479.23,-519.03,275621.59,214321.63,7523.31,6584.01,213382.33,WellnessMart,Retail,Mineral Supplement - Tablet,Magnesium Glycinate Tablet – 400 mg,Mineral Supplement,Tablet,FV-B-1,BATCH2026010048,PL04,SO-AP01,B2B,UK
MAT200049,14521.65,15.05,3330.75,3328.31,1786.86,4215.09,5028.93,5332.34,413.06,347.43,87,1026.81,7620.24,401.94,98.53,303.41,96502.96,76640.57,3772.01,1630.62,74499.18,BioHealth,Distributors,BCAA Formula - Powder,BCAA Powder – 2:1:1 Ratio – Lemon Flavor,BCAA Formula,Powder,FV-A-3,BATCH2026010049,PL01,SO-EU01,B2B,UAE
MAT200050,157995.96,32.58,32543.44,50198.92,22893.9,43779.04,24254.82,25160.09,1236.23,1306.96,956.38,5853.49,7106.5,2164.91,1259.64,905.27,484944.39,337897.88,11582.73,5968.42,332283.57,CarePharma,Retail,Vitamin B-Complex - Capsule,Vitamin B-Complex Capsule – Energy Formula – 60 Count,Vitamin B-Complex,Capsule,FV-D-4,BATCH2026010050,PL02,SO-AP01,B2B,Australia
MAT200051,73461.43,18.9,20909.7,23090.24,9328.51,19928.32,19490.75,18443.79,1467.45,2046.78,751.94,4110.11,6879.76,127.05,1174.01,-1046.96,388690.75,300372.2,29156.77,5801.58,277017.01,FitLife,E-Commerce,Probiotic (Pet) - Powder,Pet Probiotic Powder – Digestive Health,Probiotic (Pet),Powder,FV-C-1,BATCH2026010051,PL03,SO-US01,B2B,Australia
MAT200052,180443.75,38.39,38399.13,50630.82,25463.91,37354.62,23517.72,22344.18,955.84,1371.61,709,5524.34,4373.6,-878.01,295.53,-1173.54,470051.98,312354.65,13313.06,4148.94,303190.53,HealthyWorld,E-Commerce,Synbiotic Formula - Capsule,Synbiotic Capsule – Probiotic + Prebiotic,Synbiotic Formula,Capsule,FV-D-5,BATCH2026010052,PL01,SO-AP01,B2B,Canada
MAT200053,56256.64,12.56,20785.83,16679.99,3484.19,10680.1,22423.27,23769.62,1941,3591.39,765.18,2248.77,3704,2400.14,1053.79,1346.35,447939.54,361937.69,58305.37,4928.41,308560.73,BioHealth,Distributors,BCAA Formula - Powder,BCAA Powder – 2:1:1 Ratio – Lemon Flavor,BCAA Formula,Powder,FV-C-1,BATCH2026010053,PL01,SO-AP01,B2B,Canada
MAT200054,67891.75,22.56,23247.25,15574.06,9669.54,14418.83,15148.55,14294.16,1042,2159.74,262.81,3592.08,4582.81,-1347.34,-492.95,-854.39,300960.49,226458.79,33879.32,1640.38,194219.85,CarePharma,Wholesale,Skin & Coat - Capsule,Pet Omega Supplement – Skin & Coat Health,Skin & Coat,Capsule,FV-B-2,BATCH2026010054,PL03,SO-IN01,B2C,USA
MAT200055,69737.1,15.12,24877.22,25252,8443.61,20447.93,23085.92,24186.75,1893.39,3506.14,1166.43,4636.39,7735.36,3249.51,2148.68,1100.83,461327.75,366200.41,56223.66,8143.04,318119.79,CarePharma,Pharmacy,Iron Supplement - Tablet,Iron Tablet – 65 mg – Gentle Formula,Iron Supplement,Tablet,FV-C-3,BATCH2026010055,PL01,SO-US01,B2B,Singapore
MAT200056,13922.76,28.53,4503.96,4468.53,1840.98,3482.24,2668.07,2928.47,155.21,347.58,107.36,586.41,6054.35,274.41,14.01,260.4,48803.79,35104.02,4893.67,6126.63,36336.98,GreenHerb,E-Commerce,Skin & Coat - Capsule,Pet Omega Supplement – Skin & Coat Health,Skin & Coat,Capsule,FV-C-5,BATCH2026010056,PL04,SO-AP01,B2B,Germany
MAT200057,40488.45,39.69,13473.56,9064.94,3728.57,4645.52,5301.58,5206.55,203.2,722.63,84.68,803.47,774.74,-177.79,-82.76,-95.03,102011.52,67049.86,10844.24,1370.59,57576.21,PeakNutrition,Wholesale,Amino Acid - Powder,Essential Amino Acid Powder – Berry Flavor,Amino Acid,Powder,FV-B-5,BATCH2026010057,PL02,SO-EU01,B2B,Australia
MAT200058,8403.75,30.68,1871.36,3222.9,899.18,1859.56,1608.07,1556.06,87.38,104.11,89.85,284.46,4929.81,45.98,97.99,-52.01,27387.51,19371.4,951.53,9191.87,27611.74,GreenHerb,Pharmacy,Multivitamin Tablets - Tablet,Multivitamin Tablet – High Potency – 90 Count,Multivitamin Tablets,Tablet,FV-C-2,BATCH2026010058,PL02,SO-US01,B2B,India
MAT200059,54515.69,32.83,11537.35,17691.72,6069.42,7054.43,8470.59,8706.04,427.92,487.58,348.41,1560.85,1346.67,669.64,434.19,235.45,166038.51,115458.42,4576.32,6301.74,117183.84,WellnessMart,Wholesale,Collagen Powder - Powder,Collagen Peptides Powder – Unflavored – 500 g,Collagen Powder,Powder,FV-A-4,BATCH2026010059,PL02,SO-US01,B2B,Australia
MAT200060,69143.13,35.03,27508.1,16211.8,7044.12,14465.78,10022.59,11080.53,467.23,1790.01,186.59,1685.71,4459.38,1105.47,47.53,1057.94,197395.26,134856.32,29332.51,1888.9,107412.71,VitaStore,E-Commerce,Protein Powder - Powder,Whey Protein Powder – Chocolate – 1 kg,Protein Powder,Powder,FV-B-5,BATCH2026010060,PL05,SO-AP01,B2B,South Africa
MAT200061,56357.08,40.45,15475.08,13798.26,3362.13,10869.58,7148.05,6682.01,264.29,703.96,151.6,689.2,3821.93,-410.43,55.61,-466.04,139317.77,90980.56,9540.96,2396.98,83836.58,BioHealth,Distributors,Mineral Supplement - Tablet,Magnesium Glycinate Tablet – 400 mg,Mineral Supplement,Tablet,FV-B-4,BATCH2026010061,PL04,SO-EU01,B2B,UK
MAT200062,65761.18,15.84,13826.55,15837.13,4813.63,15044.08,20804.07,22788.48,1679.58,1178.86,420.39,2484.79,5221.97,2218.81,234.4,1984.41,415225.07,327941.35,11072.02,2200.57,319069.9,GreenHerb,E-Commerce,Probiotic Powder - Powder,Probiotic Powder – Unflavored – 30 Servings,Probiotic Powder,Powder,FV-B-4,BATCH2026010062,PL03,SO-US01,B2B,Australia
MAT200063,83740.07,46.11,19421.77,20521.38,5355.57,12741.81,9240.46,8783.27,248.64,653.8,196.5,958.45,2234.2,-150.99,306.2,-457.19,181592.9,112875.95,7400.63,2407.96,107883.28,VitaStore,E-Commerce,Metabolic Formula - Capsule,Metabolic Support Capsule – Herbal Blend,Metabolic Formula,Capsule,FV-D-4,BATCH2026010063,PL01,SO-EU01,B2C,India
MAT200064,14492.35,10.06,5432.33,3506.49,1924.74,2054.82,7382.9,7411.61,671.88,1208.19,151.27,1629.99,1829.67,26.52,-2.19,28.71,144062.58,118403.63,19253.5,2255.77,101405.9,PeakNutrition,Pharmacy,Protein Powder - Powder,Whey Protein Powder – Chocolate – 1 kg,Protein Powder,Powder,FV-D-1,BATCH2026010064,PL03,SO-US01,B2B,South Africa
MAT200065,115265.51,42.12,27797.4,40250.08,10057.91,30592.49,13796.05,14960.87,469.09,1058.9,652.53,1977.52,6650.95,1596.41,431.59,1164.82,273634.56,176153.94,12793.46,7510.53,170871.01,CarePharma,Retail,Vitamin D - Tablet,Vitamin D3 Tablet – 2000 IU – 120 Count,Vitamin D,Tablet,FV-C-2,BATCH2026010065,PL01,SO-EU01,B2B,UAE
